candidate_id,semantic_score,experience_score,skills_score,behavior_score,final_score
CAND_0007412,0.4483,1.0,0.2,0.4,0.4742
CAND_0011925,0.3465,1.0,0.0,1.0,0.4733
CAND_0018320,0.3259,1.0,0.2,0.8,0.473
CAND_0016128,0.3458,1.0,0.3,0.6,0.4729
CAND_0002793,0.4233,1.0,0.1,0.6,0.4717
CAND_0004402,0.5233,1.0,0.0,0.4,0.4716
CAND_0000981,0.5419,1.0,0.1,0.2,0.471
CAND_0009505,0.4416,0.8,0.2,0.6,0.4708
CAND_0004196,0.3817,1.0,0.2,0.6,0.4708
CAND_0013440,0.3001,1.0,0.1,1.0,0.47
CAND_0019427,0.375,1.0,0.2,0.6,0.4675
CAND_0018653,0.5343,1.0,0.1,0.2,0.4672
CAND_0001206,0.3532,1.0,0.1,0.8,0.4666
CAND_0018604,0.4898,0.8,0.2,0.4,0.4649
CAND_0001610,0.5595,0.3,0.4,0.4,0.4648
CAND_0019480,0.5588,0.3,0.1,0.8,0.4644
CAND_0013229,0.3867,1.0,0.3,0.4,0.4634
CAND_0016881,0.3664,1.0,0.2,0.6,0.4632
CAND_0001707,0.4633,1.0,0.1,0.4,0.4616
CAND_0016440,0.3821,1.0,0.3,0.4,0.461
CAND_0007596,0.482,0.8,0.2,0.4,0.461
CAND_0009837,0.5421,0.8,0.2,0.2,0.461
CAND_0019845,0.5319,0.3,0.3,0.6,0.4609
CAND_0005212,0.3413,1.0,0.1,0.8,0.4606
CAND_0006970,0.3406,1.0,0.1,0.8,0.4603
CAND_0012918,0.3802,1.0,0.3,0.4,0.4601
CAND_0016659,0.4784,0.8,0.2,0.4,0.4592
CAND_0018961,0.4173,1.0,0.2,0.4,0.4586
CAND_0018202,0.375,1.0,0.3,0.4,0.4575
CAND_0006757,0.3947,1.0,0.1,0.6,0.4574
CAND_0011327,0.4944,1.0,0.0,0.4,0.4572
CAND_0003609,0.5115,1.0,0.1,0.2,0.4558
CAND_0003791,0.3911,1.0,0.1,0.6,0.4556
CAND_0019183,0.3694,1.0,0.3,0.4,0.4547
CAND_0007978,0.3487,1.0,0.2,0.6,0.4544
CAND_0000273,0.4875,1.0,0.0,0.4,0.4537
CAND_0008297,0.3268,1.0,0.1,0.8,0.4534
CAND_0001537,0.3647,1.0,0.3,0.4,0.4523
CAND_0010000,0.4742,0.3,0.4,0.6,0.4521
CAND_0001819,0.384,0.8,0.1,0.8,0.452
CAND_0014438,0.3234,1.0,0.1,0.8,0.4517
CAND_0013097,0.3632,1.0,0.0,0.8,0.4516
CAND_0016976,0.393,0.7,0.3,0.6,0.4515
CAND_0019200,0.3821,1.0,0.1,0.6,0.4511
CAND_0017823,0.3612,1.0,0.3,0.4,0.4506
CAND_0001980,0.3604,1.0,0.3,0.4,0.4502
CAND_0004555,0.4396,1.0,0.1,0.4,0.4498
CAND_0015582,0.3997,0.8,0.2,0.6,0.4498
CAND_0002037,0.4795,1.0,0.3,0.0,0.4497
CAND_0004131,0.3779,1.0,0.1,0.6,0.4489
CAND_0008618,0.4166,0.8,0.3,0.4,0.4483
CAND_0007011,0.3363,1.0,0.2,0.6,0.4481
CAND_0009539,0.356,1.0,0.3,0.4,0.448
CAND_0019175,0.3657,0.7,0.2,0.8,0.4479
CAND_0017177,0.2951,1.0,0.0,1.0,0.4476
CAND_0008202,0.5149,1.0,0.2,0.0,0.4475
CAND_0012988,0.4749,0.8,0.0,0.6,0.4475
CAND_0007052,0.4351,1.0,0.1,0.4,0.4475
CAND_0011125,0.4548,1.0,0.2,0.2,0.4474
CAND_0001086,0.3728,1.0,0.1,0.6,0.4464
CAND_0009586,0.3716,1.0,0.1,0.6,0.4458
CAND_0007631,0.4314,1.0,0.1,0.4,0.4457
CAND_0006833,0.4311,1.0,0.1,0.4,0.4455
CAND_0013018,0.3107,1.0,0.1,0.8,0.4453
CAND_0019288,0.3906,1.0,0.2,0.4,0.4453
CAND_0000165,0.4097,1.0,0.0,0.6,0.4449
CAND_0016432,0.4095,0.8,0.3,0.4,0.4448
CAND_0016267,0.6196,0.3,0.0,0.6,0.4448
CAND_0013988,0.5296,1.0,0.0,0.2,0.4448
CAND_0012926,0.3464,1.0,0.3,0.4,0.4432
CAND_0001302,0.4243,1.0,0.1,0.4,0.4422
CAND_0017090,0.3638,1.0,0.1,0.6,0.4419
CAND_0007620,0.3832,1.0,0.2,0.4,0.4416
CAND_0017516,0.3625,1.0,0.1,0.6,0.4413
CAND_0015643,0.4818,1.0,0.1,0.2,0.4409
CAND_0010901,0.3806,1.0,0.2,0.4,0.4403
CAND_0000859,0.3592,1.0,0.1,0.6,0.4396
CAND_0009078,0.3788,1.0,0.2,0.4,0.4394
CAND_0005155,0.3775,1.0,0.2,0.4,0.4388
CAND_0018925,0.456,1.0,0.0,0.4,0.438
CAND_0007962,0.3354,1.0,0.0,0.8,0.4377
CAND_0014631,0.2751,1.0,0.3,0.6,0.4376
CAND_0016317,0.3347,1.0,0.3,0.4,0.4373
CAND_0002526,0.2939,1.0,0.1,0.8,0.437
CAND_0011383,0.334,1.0,0.3,0.4,0.437
CAND_0014909,0.4138,0.8,0.1,0.6,0.4369
CAND_0010094,0.3929,1.0,0.3,0.2,0.4365
CAND_0010204,0.3129,1.0,0.2,0.6,0.4365
CAND_0000932,0.3317,1.0,0.3,0.4,0.4359
CAND_0015823,0.3718,1.0,0.2,0.4,0.4359
CAND_0002623,0.3914,1.0,0.3,0.2,0.4357
CAND_0012397,0.3413,0.7,0.2,0.8,0.4356
CAND_0011996,0.3502,0.8,0.1,0.8,0.4351
CAND_0018234,0.3691,1.0,0.2,0.4,0.4345
CAND_0005269,0.409,1.0,0.1,0.4,0.4345
CAND_0004620,0.3089,1.0,0.2,0.6,0.4344
CAND_0003557,0.5081,1.0,0.0,0.2,0.4341
CAND_0015693,0.3682,1.0,0.2,0.4,0.4341
CAND_0004666,0.3071,1.0,0.2,0.6,0.4336
CAND_0008978,0.3459,1.0,0.4,0.2,0.433
CAND_0010148,0.2858,1.0,0.1,0.8,0.4329
CAND_0004047,0.3444,1.0,0.1,0.6,0.4322
CAND_0010414,0.3641,1.0,0.2,0.4,0.4321
CAND_0011489,0.3638,1.0,0.2,0.4,0.4319
CAND_0008486,0.3237,1.0,0.3,0.4,0.4318
CAND_0007590,0.3627,1.0,0.2,0.4,0.4314
CAND_0007574,0.3015,1.0,0.2,0.6,0.4307
CAND_0012256,0.3414,1.0,0.1,0.6,0.4307
CAND_0008456,0.4611,0.8,0.1,0.4,0.4306
CAND_0012779,0.3812,0.8,0.3,0.4,0.4306
CAND_0018564,0.3212,1.0,0.0,0.8,0.4306
CAND_0001131,0.3397,1.0,0.1,0.6,0.4299
CAND_0017495,0.3593,1.0,0.2,0.4,0.4296
CAND_0005632,0.3385,1.0,0.1,0.6,0.4293
CAND_0015065,0.4877,0.3,0.1,0.8,0.4289
CAND_0013523,0.3177,1.0,0.3,0.4,0.4289
CAND_0008349,0.3175,1.0,0.0,0.8,0.4288
CAND_0013640,0.3774,1.0,0.0,0.6,0.4287
CAND_0002426,0.606,0.3,0.1,0.4,0.428
CAND_0016663,0.3159,0.8,0.3,0.6,0.4279
CAND_0009094,0.2756,1.0,0.1,0.8,0.4278
CAND_0015320,0.3554,1.0,0.2,0.4,0.4277
CAND_0010546,0.3754,1.0,0.0,0.6,0.4277
CAND_0009234,0.385,0.7,0.2,0.6,0.4275
CAND_0004972,0.4951,1.0,0.0,0.2,0.4275
CAND_0010770,0.5248,0.3,0.0,0.8,0.4274
CAND_0011759,0.3345,1.0,0.1,0.6,0.4273
CAND_0003724,0.2744,1.0,0.1,0.8,0.4272
CAND_0014392,0.3737,1.0,0.3,0.2,0.4269
CAND_0005172,0.3136,1.0,0.0,0.8,0.4268
CAND_0014320,0.3135,1.0,0.3,0.4,0.4267
CAND_0016801,0.4325,1.0,0.3,0.0,0.4263
CAND_0000422,0.3518,1.0,0.2,0.4,0.4259
CAND_0018652,0.3509,1.0,0.2,0.4,0.4255
CAND_0002743,0.3304,1.0,0.1,0.6,0.4252
CAND_0000319,0.3103,1.0,0.0,0.8,0.4251
CAND_0017590,0.3498,1.0,0.2,0.4,0.4249
CAND_0005883,0.439,0.3,0.2,0.8,0.4245
CAND_0011084,0.3687,0.8,0.3,0.4,0.4243
CAND_0003082,0.3285,1.0,0.1,0.6,0.4243
CAND_0003057,0.2884,1.0,0.2,0.6,0.4242
CAND_0014948,0.3085,1.0,0.3,0.4,0.4242
CAND_0012343,0.3981,0.7,0.3,0.4,0.424
CAND_0000664,0.2879,1.0,0.2,0.6,0.4239
CAND_0016359,0.3277,1.0,0.1,0.6,0.4239
CAND_0018882,0.4078,1.0,0.2,0.2,0.4239
CAND_0017093,0.2676,1.0,0.1,0.8,0.4238
CAND_0001152,0.3672,1.0,0.3,0.2,0.4236
CAND_0012209,0.3466,0.8,0.2,0.6,0.4233
CAND_0017667,0.2454,1.0,0.0,1.0,0.4227
CAND_0001347,0.3052,1.0,0.3,0.4,0.4226
CAND_0012065,0.3049,1.0,0.0,0.8,0.4225
CAND_0019143,0.3247,0.8,0.1,0.8,0.4224
CAND_0007351,0.2843,1.0,0.2,0.6,0.4222
CAND_0004853,0.3245,1.0,0.1,0.6,0.4222
CAND_0016424,0.3442,1.0,0.2,0.4,0.4221
CAND_0016473,0.334,0.7,0.3,0.6,0.422
CAND_0016923,0.3237,1.0,0.1,0.6,0.4219
CAND_0016623,0.3232,1.0,0.1,0.6,0.4216
CAND_0011095,0.3031,0.8,0.3,0.6,0.4215
CAND_0005191,0.4224,1.0,0.0,0.4,0.4212
CAND_0018282,0.322,1.0,0.1,0.6,0.421
CAND_0005208,0.3618,0.8,0.3,0.4,0.4209
CAND_0012820,0.2816,1.0,0.2,0.6,0.4208
CAND_0009607,0.341,1.0,0.2,0.4,0.4205
CAND_0006643,0.3607,1.0,0.0,0.6,0.4204
CAND_0005610,0.3603,1.0,0.3,0.2,0.4201
CAND_0008392,0.3401,0.8,0.2,0.6,0.4201
CAND_0001151,0.4998,1.0,0.1,0.0,0.4199
CAND_0015505,0.2596,1.0,0.1,0.8,0.4198
CAND_0014541,0.3595,1.0,0.0,0.6,0.4197
CAND_0003121,0.3386,1.0,0.2,0.4,0.4193
CAND_0000211,0.3785,1.0,0.1,0.4,0.4193
CAND_0005821,0.2584,1.0,0.1,0.8,0.4192
CAND_0009844,0.378,1.0,0.1,0.4,0.419
CAND_0019201,0.3579,1.0,0.0,0.6,0.4189
CAND_0007777,0.3576,1.0,0.0,0.6,0.4188
CAND_0017075,0.3376,1.0,0.2,0.4,0.4188
CAND_0012510,0.337,1.0,0.2,0.4,0.4185
CAND_0014180,0.3669,0.7,0.2,0.6,0.4185
CAND_0015533,0.3171,1.0,0.1,0.6,0.4185
CAND_0005426,0.3365,1.0,0.2,0.4,0.4183
CAND_0006324,0.3665,0.7,0.2,0.6,0.4182
CAND_0007046,0.3163,1.0,0.1,0.6,0.4182
CAND_0016282,0.3364,1.0,0.2,0.4,0.4182
CAND_0018383,0.3556,1.0,0.0,0.6,0.4178
CAND_0019389,0.3356,1.0,0.2,0.4,0.4178
CAND_0005527,0.3752,0.8,0.1,0.6,0.4176
CAND_0002665,0.3152,1.0,0.1,0.6,0.4176
CAND_0008318,0.3748,0.8,0.1,0.6,0.4174
CAND_0004985,0.2947,1.0,0.3,0.4,0.4173
CAND_0007827,0.3339,1.0,0.2,0.4,0.4169
CAND_0005193,0.3533,1.0,0.0,0.6,0.4167
CAND_0014234,0.3531,1.0,0.0,0.6,0.4166
CAND_0012624,0.3132,1.0,0.1,0.6,0.4166
CAND_0006894,0.2729,1.0,0.2,0.6,0.4165
CAND_0006794,0.293,1.0,0.0,0.8,0.4165
CAND_0014461,0.3528,1.0,0.3,0.2,0.4164
CAND_0017053,0.3322,1.0,0.2,0.4,0.4161
CAND_0010241,0.2517,1.0,0.1,0.8,0.4159
CAND_0010939,0.3316,1.0,0.2,0.4,0.4158
CAND_0007496,0.3316,1.0,0.2,0.4,0.4158
CAND_0006600,0.3116,1.0,0.1,0.6,0.4158
CAND_0013950,0.3513,0.8,0.3,0.4,0.4157
CAND_0002220,0.3311,1.0,0.2,0.4,0.4156
CAND_0002140,0.3309,1.0,0.2,0.4,0.4154
CAND_0018133,0.3707,1.0,0.1,0.4,0.4153
CAND_0011559,0.3507,1.0,0.0,0.6,0.4153
CAND_0018179,0.3803,0.7,0.0,0.8,0.4152
CAND_0011967,0.3305,1.0,0.2,0.4,0.4152
CAND_0007675,0.35,1.0,0.0,0.6,0.415
CAND_0007991,0.3497,1.0,0.0,0.6,0.4149
CAND_0001224,0.3096,1.0,0.1,0.6,0.4148
CAND_0003100,0.3691,1.0,0.1,0.4,0.4146
CAND_0003833,0.3481,0.8,0.3,0.4,0.4141
CAND_0011104,0.3781,0.7,0.3,0.4,0.4141
CAND_0010817,0.3279,0.8,0.2,0.6,0.414
CAND_0018277,0.3477,1.0,0.3,0.2,0.4138
CAND_0000203,0.3468,0.8,0.3,0.4,0.4134
CAND_0007418,0.3266,1.0,0.2,0.4,0.4133
CAND_0017443,0.3766,0.7,0.3,0.4,0.4133
CAND_0000821,0.3459,1.0,0.3,0.2,0.413
CAND_0008191,0.346,1.0,0.0,0.6,0.413
CAND_0013593,0.3261,1.0,0.2,0.4,0.413
CAND_0000967,0.366,1.0,0.1,0.4,0.413
CAND_0005942,0.4058,1.0,0.0,0.4,0.4129
CAND_0005147,0.3457,1.0,0.3,0.2,0.4128
CAND_0018094,0.3655,1.0,0.1,0.4,0.4127
CAND_0007688,0.3552,0.7,0.2,0.6,0.4126
CAND_0018851,0.2853,1.0,0.3,0.4,0.4126
CAND_0006639,0.3451,1.0,0.3,0.2,0.4125
CAND_0003515,0.3451,1.0,0.3,0.2,0.4125
CAND_0001193,0.3247,1.0,0.2,0.4,0.4124
CAND_0009179,0.2845,1.0,0.0,0.8,0.4122
CAND_0010230,0.4038,0.8,0.0,0.6,0.4119
CAND_0011324,0.3636,1.0,0.1,0.4,0.4118
CAND_0018536,0.2636,1.0,0.2,0.6,0.4118
CAND_0001608,0.4231,0.8,0.1,0.4,0.4115
CAND_0010724,0.2829,1.0,0.0,0.8,0.4114
CAND_0019504,0.3626,1.0,0.1,0.4,0.4113
CAND_0008853,0.3024,1.0,0.1,0.6,0.4112
CAND_0007038,0.3125,0.7,0.3,0.6,0.4112
CAND_0010040,0.282,1.0,0.0,0.8,0.411
CAND_0001943,0.3018,1.0,0.1,0.6,0.4109
CAND_0006766,0.3615,1.0,0.1,0.4,0.4107
CAND_0013287,0.2612,1.0,0.2,0.6,0.4106
CAND_0009759,0.3208,1.0,0.2,0.4,0.4104
CAND_0014023,0.3007,1.0,0.1,0.6,0.4104
CAND_0001661,0.3406,1.0,0.0,0.6,0.4103
CAND_0005690,0.2807,1.0,0.3,0.4,0.4103
CAND_0010794,0.3003,1.0,0.1,0.6,0.4102
CAND_0006007,0.3402,1.0,0.3,0.2,0.4101
CAND_0016553,0.2998,1.0,0.1,0.6,0.4099
CAND_0003625,0.3798,1.0,0.2,0.2,0.4099
CAND_0003009,0.2798,1.0,0.0,0.8,0.4099
CAND_0017046,0.3697,0.7,0.3,0.4,0.4099
CAND_0017706,0.3399,1.0,0.3,0.2,0.4099
CAND_0009995,0.2978,1.0,0.1,0.6,0.4089
CAND_0004008,0.3173,1.0,0.2,0.4,0.4087
CAND_0015362,0.2775,1.0,0.0,0.8,0.4087
CAND_0004848,0.3572,1.0,0.1,0.4,0.4086
CAND_0019187,0.2771,1.0,0.0,0.8,0.4086
CAND_0002557,0.3971,1.0,0.3,0.0,0.4085
CAND_0008943,0.357,1.0,0.1,0.4,0.4085
CAND_0017552,0.3767,1.0,0.2,0.2,0.4083
CAND_0000828,0.3461,0.7,0.2,0.6,0.4081
CAND_0001088,0.3761,1.0,0.2,0.2,0.408
CAND_0009213,0.296,1.0,0.1,0.6,0.408
CAND_0000082,0.2758,1.0,0.3,0.4,0.4079
CAND_0010202,0.2756,1.0,0.3,0.4,0.4078
CAND_0015326,0.4054,0.7,0.2,0.4,0.4077
CAND_0002667,0.2752,1.0,0.0,0.8,0.4076
CAND_0012863,0.3151,1.0,0.2,0.4,0.4075
CAND_0004167,0.3149,1.0,0.2,0.4,0.4075
CAND_0015483,0.2948,1.0,0.1,0.6,0.4074
CAND_0017298,0.2747,1.0,0.0,0.8,0.4073
CAND_0006348,0.3347,1.0,0.3,0.2,0.4073
CAND_0008677,0.3544,1.0,0.1,0.4,0.4072
CAND_0012446,0.3341,1.0,0.3,0.2,0.4071
CAND_0003599,0.2941,1.0,0.1,0.6,0.407
CAND_0001405,0.4838,0.3,0.0,0.8,0.4069
CAND_0010408,0.3537,1.0,0.1,0.4,0.4068
CAND_0007655,0.3335,1.0,0.0,0.6,0.4067
CAND_0000874,0.3534,1.0,0.1,0.4,0.4067
CAND_0006509,0.2933,1.0,0.1,0.6,0.4066
CAND_0009758,0.2727,1.0,0.0,0.8,0.4064
CAND_0000361,0.3428,0.7,0.2,0.6,0.4064
CAND_0006245,0.2924,1.0,0.1,0.6,0.4062
CAND_0012051,0.3118,1.0,0.2,0.4,0.4059
CAND_0003572,0.3118,1.0,0.2,0.4,0.4059
CAND_0004733,0.3115,1.0,0.2,0.4,0.4058
CAND_0017732,0.3716,1.0,0.2,0.2,0.4058
CAND_0018659,0.2911,1.0,0.1,0.6,0.4055
CAND_0013525,0.3301,1.0,0.0,0.6,0.405
CAND_0000666,0.3494,1.0,0.1,0.4,0.4047
CAND_0001475,0.3294,1.0,0.0,0.6,0.4047
CAND_0013702,0.2895,1.0,0.1,0.6,0.4047
CAND_0000493,0.3287,1.0,0.0,0.6,0.4043
CAND_0011757,0.3683,0.8,0.2,0.4,0.4041
CAND_0004123,0.3281,0.8,0.3,0.4,0.4041
CAND_0013315,0.3282,0.8,0.3,0.4,0.4041
CAND_0011912,0.3281,1.0,0.0,0.6,0.404
CAND_0016922,0.3276,1.0,0.0,0.6,0.4038
CAND_0004530,0.3475,1.0,0.1,0.4,0.4037
CAND_0008933,0.2674,1.0,0.0,0.8,0.4037
CAND_0002957,0.3474,1.0,0.1,0.4,0.4037
CAND_0008286,0.327,1.0,0.0,0.6,0.4035
CAND_0013154,0.367,1.0,0.2,0.2,0.4035
CAND_0018304,0.3668,0.8,0.2,0.4,0.4034
CAND_0005922,0.3666,1.0,0.2,0.2,0.4033
CAND_0008583,0.3465,0.8,0.1,0.6,0.4032
CAND_0016657,0.4064,1.0,0.1,0.2,0.4032
CAND_0009260,0.3263,1.0,0.0,0.6,0.4031
CAND_0007499,0.3262,0.8,0.3,0.4,0.4031
CAND_0009509,0.2861,1.0,0.1,0.6,0.403
CAND_0001820,0.3657,1.0,0.2,0.2,0.4029
CAND_0006514,0.2657,1.0,0.0,0.8,0.4029
CAND_0017132,0.3658,1.0,0.2,0.2,0.4029
CAND_0012488,0.2856,1.0,0.1,0.6,0.4028
CAND_0002991,0.2656,1.0,0.0,0.8,0.4028
CAND_0015726,0.3457,0.8,0.1,0.6,0.4028
CAND_0010593,0.3457,1.0,0.1,0.4,0.4028
CAND_0002177,0.3455,1.0,0.1,0.4,0.4027
CAND_0002067,0.3252,1.0,0.0,0.6,0.4026
CAND_0016678,0.4452,1.0,0.0,0.2,0.4026
CAND_0012422,0.3251,1.0,0.0,0.6,0.4025
CAND_0012411,0.3251,1.0,0.3,0.2,0.4025
CAND_0010039,0.3247,1.0,0.0,0.6,0.4024
CAND_0002772,0.2844,1.0,0.1,0.6,0.4022
CAND_0015132,0.4043,1.0,0.1,0.2,0.4021
CAND_0018300,0.3841,1.0,0.3,0.0,0.4021
CAND_0006732,0.3539,0.3,0.3,0.8,0.402
CAND_0019149,0.344,1.0,0.1,0.4,0.402
CAND_0003813,0.3239,1.0,0.0,0.6,0.402
CAND_0018924,0.384,1.0,0.0,0.4,0.402
CAND_0016717,0.3238,1.0,0.0,0.6,0.4019
CAND_0008602,0.3438,1.0,0.1,0.4,0.4019
CAND_0017453,0.3238,1.0,0.0,0.6,0.4019
CAND_0017379,0.3237,1.0,0.0,0.6,0.4019
CAND_0012408,0.3237,1.0,0.3,0.2,0.4019
CAND_0015057,0.4036,0.8,0.1,0.4,0.4018
CAND_0015257,0.2834,1.0,0.1,0.6,0.4017
CAND_0005375,0.3232,1.0,0.0,0.6,0.4016
CAND_0005287,0.393,0.7,0.2,0.4,0.4015
CAND_0012449,0.3329,0.7,0.2,0.6,0.4015
CAND_0015464,0.2627,1.0,0.0,0.8,0.4014
CAND_0000969,0.3428,1.0,0.1,0.4,0.4014
CAND_0015197,0.3226,1.0,0.0,0.6,0.4013
CAND_0000200,0.4026,0.8,0.1,0.4,0.4013
CAND_0006821,0.4225,1.0,0.2,0.0,0.4013
CAND_0013842,0.3624,1.0,0.2,0.2,0.4012
CAND_0013732,0.3622,1.0,0.2,0.2,0.4011
CAND_0008285,0.3219,0.8,0.3,0.4,0.401
CAND_0014571,0.3019,1.0,0.2,0.4,0.401
CAND_0003919,0.2617,1.0,0.0,0.8,0.4009
CAND_0002925,0.3217,0.8,0.0,0.8,0.4009
CAND_0002525,0.3218,1.0,0.3,0.2,0.4009
CAND_0005082,0.3219,1.0,0.0,0.6,0.4009
CAND_0000665,0.3014,1.0,0.2,0.4,0.4007
CAND_0012287,0.3213,1.0,0.3,0.2,0.4006
CAND_0010815,0.3009,1.0,0.2,0.4,0.4004
CAND_0000745,0.2806,1.0,0.1,0.6,0.4003
CAND_0007177,0.3806,0.8,0.3,0.2,0.4003
CAND_0014527,0.3204,1.0,0.3,0.2,0.4002
CAND_0017147,0.4003,0.8,0.1,0.4,0.4002
CAND_0008033,0.2801,1.0,0.1,0.6,0.4
CAND_0010332,0.3795,1.0,0.3,0.0,0.3998
CAND_0002770,0.3397,1.0,0.1,0.4,0.3998
CAND_0018240,0.3196,1.0,0.0,0.6,0.3998
CAND_0001089,0.2593,1.0,0.0,0.8,0.3997
CAND_0014494,0.3192,1.0,0.3,0.2,0.3996
CAND_0003341,0.3191,1.0,0.0,0.6,0.3995
CAND_0012630,0.3188,1.0,0.0,0.6,0.3994
CAND_0012498,0.3487,0.7,0.3,0.4,0.3993
CAND_0002662,0.3586,1.0,0.2,0.2,0.3993
CAND_0017696,0.3482,0.7,0.3,0.4,0.3991
CAND_0010149,0.2781,1.0,0.1,0.6,0.399
CAND_0014942,0.278,1.0,0.1,0.6,0.399
CAND_0005202,0.3381,0.8,0.1,0.6,0.399
CAND_0008592,0.3379,1.0,0.1,0.4,0.399
CAND_0018701,0.3778,1.0,0.0,0.4,0.3989
CAND_0017557,0.2777,1.0,0.1,0.6,0.3989
CAND_0006756,0.2775,1.0,0.1,0.6,0.3987
CAND_0012279,0.357,1.0,0.2,0.2,0.3985
CAND_0017918,0.487,0.3,0.1,0.6,0.3985
CAND_0018396,0.2971,1.0,0.2,0.4,0.3985
CAND_0012038,0.2568,1.0,0.0,0.8,0.3984
CAND_0014084,0.3666,0.7,0.1,0.6,0.3983
CAND_0006271,0.2567,1.0,0.0,0.8,0.3983
CAND_0018246,0.3363,0.8,0.1,0.6,0.3982
CAND_0015105,0.2962,1.0,0.2,0.4,0.3981
CAND_0010142,0.2558,1.0,0.0,0.8,0.3979
CAND_0004830,0.3157,1.0,0.0,0.6,0.3979
CAND_0009846,0.3557,1.0,0.2,0.2,0.3979
